mdi_i,year,month,day,hour,minute,second,intf_n,intfc_n,unsflux_n,sflux_n,posflux_n,negflux_n,vnpc_pxn,visarea_n,max_pxflux_n,max_pxf_n,max_pxfc_n,n_swt,intf_s,intfc_s,unsflux_s,sflux_s,posflux_s,negflux_s,vnpc_pxs,visarea_s,max_pxflux_s,max_pxf_s,max_pxfc_s,s_swt
2256,1976,3,5,18,46,18,1.45073,5.5462,4.16E+21,6.84E+20,2.42E+21,-1.74E+21,6193,1.23E+20,8.93E+18,49.9452,204.149,0,-3.53194,-9.47503,2.20E+22,-9.42E+21,6.30E+21,-1.57E+22,68238,9.87E+20,7.42E+18,95.6731,306.178,0
2257,1976,3,6,20,51,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-2.45964,-5.80521,1.66E+22,-5.81E+21,5.40E+21,-1.12E+22,72660,1.01E+21,5.60E+18,112.415,263.706,0
2259,1976,3,8,16,5,2,1.75775,6.65507,3.49E+21,9.07E+20,2.20E+21,-1.29E+21,6835,1.40E+20,3.55E+19,122.309,503.174,0,-2.68785,-7.08445,2.74E+22,-7.04E+21,1.02E+22,-1.72E+22,68539,1.01E+21,1.02E+19,77.4371,192.96,0
2260,1976,3,9,19,5,14,0.829797,2.61482,1.48E+22,1.33E+21,8.07E+21,-6.74E+21,19971,5.89E+20,1.92E+19,77.5909,329.531,0,-3.23439,-9.16736,3.19E+22,-1.41E+22,8.91E+21,-2.30E+22,86802,1.61E+21,1.15E+19,72.4301,255.169,0
2262,1976,3,11,16,1,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-3.83125,-10.1905,2.55E+22,-1.32E+22,6.14E+21,-1.94E+22,80868,1.27E+21,7.31E+18,79.9776,176.658,0
2263,1976,3,12,21,54,34,0.3743,1.23285,2.79E+21,1.07E+20,1.45E+21,-1.34E+21,5221,1.01E+20,4.82E+18,55.5728,227.598,0,-1.07762,-2.49589,2.13E+22,-2.01E+21,9.63E+21,-1.16E+22,66223,9.41E+20,7.54E+18,87.3221,356.845,0
2264,1976,3,13,21,24,36,2.27938,8.76857,5.08E+21,1.84E+21,3.46E+21,-1.62E+21,9722,2.09E+20,8.77E+18,39.6395,174.256,0,-0.739691,-1.95869,2.62E+22,-2.07E+21,1.21E+22,-1.42E+22,72618,1.11E+21,8.51E+18,92.4215,331.822,0
2416,1976,8,12,21,14,0,2.27932,5.55494,1.47E+22,4.36E+21,9.53E+21,-5.17E+21,57935,8.84E+20,3.39E+18,62.0509,160.166,0,-1.83864,-6.7929,2.26E+21,-8.20E+20,7.22E+20,-1.54E+21,5901,1.19E+20,2.35E+18,22.9016,87.3273,0
2417,1976,8,13,18,18,12,-1.16464,-5.1371,1.54E+22,-5.50E+21,4.95E+21,-1.05E+22,52237,7.26E+20,3.53E+18,64.5904,144.04,0,3.96655,13.4626,9.60E+20,4.54E+20,7.07E+20,-2.53E+20,1867,3.35E+19,2.31E+18,36.4028,125.653,0
2419,1976,8,15,17,6,46,1.97407,4.54043,7.35E+21,2.23E+21,4.79E+21,-2.56E+21,38273,5.07E+20,2.26E+18,94.3935,196,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2420,1976,8,16,17,10,46,2.37769,5.68289,1.02E+22,3.69E+21,6.94E+21,-3.26E+21,49112,6.80E+20,3.10E+18,88.3949,182.565,0,-1.57199,-5.12808,1.60E+20,-5.05E+19,5.49E+19,-1.05E+20,556,9.90E+18,1.40E+18,14.0224,46.5907,0
2423,1976,8,19,15,45,56,2.40912,5.75599,9.73E+21,3.72E+21,6.72E+21,-3.01E+21,49835,6.72E+20,2.30E+18,66.9303,159.715,0,-2.99646,-9.78171,5.52E+19,-3.74E+19,8.89E+18,-4.63E+19,220,3.82E+18,9.27E+17,11.7239,38.3933,0
2424,1976,8,20,17,8,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2425,1976,8,21,17,32,1,1.21493,2.77615,6.46E+21,1.47E+21,3.97E+21,-2.49E+21,42086,5.57E+20,1.34E+18,45.1701,94.2832,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2426,1976,8,22,15,32,54,-0.325899,-0.781856,1.83E+22,-1.73E+21,8.31E+21,-1.00E+22,64251,9.52E+20,5.24E+18,56.5617,151.288,0,-11.798,-34.2706,6.23E+21,-4.26E+21,9.83E+20,-5.24E+21,6392,1.29E+20,4.04E+19,343.122,1192.09,0
2427,1976,8,23,16,15,5,0.43713,0.478285,1.30E+22,-4.42E+20,6.30E+21,-6.75E+21,58945,8.30E+20,2.98E+18,92.7597,186.91,0,-4.06467,-13.1165,1.02E+21,-7.34E+20,1.44E+20,-8.78E+20,3023,5.65E+19,1.61E+18,16.3904,60.1685,0
2428,1976,8,24,14,52,48,0.515058,0.751239,1.95E+22,-4.49E+19,9.74E+21,-9.79E+21,66947,1.04E+21,4.63E+18,86.8798,183.51,0,-1.98648,-8.33045,4.34E+21,-1.57E+21,1.39E+21,-2.96E+21,8266,1.78E+20,4.24E+18,25.5831,102.215,0
2429,1976,8,25,17,26,44,0.958848,2.0659,9.80E+21,1.23E+21,5.52E+21,-4.29E+21,54403,7.34E+20,2.17E+18,58.2574,117.87,0,0.534371,1.82719,2.24E+20,2.58E+19,1.25E+20,-9.93E+19,785,1.38E+19,1.39E+18,23.4012,78.6768,0
2430,1976,8,26,16,37,40,-0.407996,-0.0852332,1.42E+22,-9.35E+20,6.61E+21,-7.54E+21,66860,1.01E+21,3.40E+18,88.789,202.07,0,-3.76525,-7.33041,2.27E+21,-1.09E+21,5.89E+20,-1.68E+21,7363,1.53E+20,2.74E+18,32.9284,73.2154,0
2438,1976,9,3,15,41,42,-0.179203,0.224895,2.71E+22,-2.15E+21,1.25E+22,-1.46E+22,75638,1.23E+21,9.27E+18,94.5438,275.571,0,-4.81572,-4.28004,6.19E+21,-1.55E+21,2.32E+21,-3.87E+21,15113,3.09E+20,4.51E+18,43.8331,165.414,0
2442,1976,9,7,15,50,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
