2264,1976,3,13,21,24,36,2.27938,8.76857,5.08E+21,1.84E+21,3.46E+21,-1.62E+21,9722,2.09E+20,0,-0.739691,-1.95869,2.62E+22,-2.07E+21,1.21E+22,-1.42E+22,72618,1.11E+21,0
2416,1976,8,12,21,14,0,2.27932,5.55494,1.47E+22,4.36E+21,9.53E+21,-5.17E+21,57935,8.84E+20,0,-1.83864,-6.7929,2.26E+21,-8.20E+20,7.22E+20,-1.54E+21,5901,1.19E+20,0
2417,1976,8,13,18,18,12,-1.16464,-5.1371,1.54E+22,-5.50E+21,4.95E+21,-1.05E+22,52237,7.26E+20,0,3.96655,13.4626,9.60E+20,4.54E+20,7.07E+20,-2.53E+20,1867,3.35E+19,0
2419,1976,8,15,17,6,46,1.97407,4.54043,7.35E+21,2.23E+21,4.79E+21,-2.56E+21,38273,5.07E+20,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2420,1976,8,16,17,10,46,2.37769,5.68289,1.02E+22,3.69E+21,6.94E+21,-3.26E+21,49112,6.80E+20,0,-1.57199,-5.12808,1.60E+20,-5.05E+19,5.49E+19,-1.05E+20,556,9.90E+18,0
2423,1976,8,19,15,45,56,2.40912,5.75599,9.73E+21,3.72E+21,6.72E+21,-3.01E+21,49835,6.72E+20,0,-2.99646,-9.78171,5.52E+19,-3.74E+19,8.89E+18,-4.63E+19,220,3.82E+18,0
2424,1976,8,20,17,8,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2425,1976,8,21,17,32,1,1.21493,2.77615,6.46E+21,1.47E+21,3.97E+21,-2.49E+21,42086,5.57E+20,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2426,1976,8,22,15,32,54,-0.325899,-0.781856,1.83E+22,-1.73E+21,8.31E+21,-1.00E+22,64251,9.52E+20,0,-11.798,-34.2706,6.23E+21,-4.26E+21,9.83E+20,-5.24E+21,6392,1.29E+20,0
2427,1976,8,23,16,15,5,0.43713,0.478285,1.30E+22,-4.42E+20,6.30E+21,-6.75E+21,58945,8.30E+20,0,-4.06467,-13.1165,1.02E+21,-7.34E+20,1.44E+20,-8.78E+20,3023,5.65E+19,0
